cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
42005,HONG KONG,1366,5055,3689,1604,4932,3328,1431,5419,3988,1267,4890,3623,1273,5807,4534,3100,6533,3433,1165,6667,5502,1242,7113,5871,1476,5611,4135,2147,5979,3832,1565,6235,4670,3030,10088,7058,2825,8741,5916,3591,11509,7918,4220,11437,7217,6363,12281,5918,7006,14280,7274,6994,14813,7819
42102,INDIA,183,183,0,330,451,121,442,567,124,1005,1181,176,3296,3844,548,2362,3249,887,3291,4629,1338,4337,5464,1127,2731,5446,2715,2698,5077,2379,2685,5777,3092,3641,7446,3805,5018,6845,1827,5242,6755,1512,5841,9396,3555,6198,9403,3205,7533,12532,4998,7918,13169,5251
42218,INDONESIA,304,557,253,275,597,321,433,965,532,475,936,461,400,1116,716,417,812,395,409,1411,1002,465,1768,1303,981,2231,1250,2341,3690,1349,2731,3972,1242,4114,5366,1252,4012,5080,1068,3972,4821,850,5462,6185,723,6952,7037,84,8099,8262,163,9198,9063,-135
42307,IRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42404,IRAQ,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,14,14,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,73,73,0,62,62,1,64,63
42501,ISRAEL,2613,2807,194,1401,1717,316,1222,1583,361,1291,1350,59,1302,1867,565,1359,1870,511,1089,1537,448,1140,2202,1062,879,4746,3867,1918,6616,4698,1331,5026,3695,2678,5975,3297,2560,4340,1779,1803,12334,10531,1886,12130,10244,2571,11275,8704,2918,11647,8728,4826,13866,9040
42609,JAPAN,12586,14874,2289,2574,6428,3854,6820,9875,3055,8380,14998,6618,10626,16893,6267,14386,18998,4613,6356,11054,4698,9239,13119,3880,14872,17982,3110,10521,12798,2277,15794,17746,1952,27658,29704,2046,28532,30048,1515,34315,35608,1294,49250,50703,1453,64684,65805,1121,78578,80309,1732,100128,101757,1629
42706,JORDAN,15,15,0,0,0,0,0,0,0,16,16,0,3,3,0,1,1,0,0,0,0,21,21,0,19,19,0,7,7,0,7,7,0,114,114,0,33,33,0,24,24,0,69,69,0,19,58,39,5,5,0,32,32,0
43001,"KOREA, SOUTH",1332,1547,215,3740,4193,453,5427,5955,529,5689,6134,445,5770,6257,488,7760,8109,350,5523,5939,416,8548,8813,265,10711,11264,553,15621,16112,491,14600,14860,260,28203,29002,799,13942,14311,370,12635,12635,0,10562,10586,24,13497,13317,-180,9750,9678,-72,10964,10844,-120
43109,KUWAIT,0,0,0,12,12,0,0,0,0,7,7,0,7,7,0,6,6,0,4,25,20,3,19,16,3,35,32,1,36,35,0,26,26,23,49,26,1,33,33,9,682,674,18,610,592,57,627,570,23,643,620,70,713,644
43303,LAOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,5,5,0
43419,LEBANON,31,31,0,19,19,0,22,22,0,23,23,0,19,19,0,14,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,8,0,39,39,0,6,6,0,2,2,0,15,15,0,2,2,0,28,28,0
43508,MACAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,56,310,254,0,224,224,0,416,416,0,616,616,0,968,967,0,535,535,0,642,642,4,188,184,17,258,241,49,291,243,65,2288,2223
43605,MALAYSIA,2693,2743,50,2816,2816,0,2730,2733,3,2955,2964,9,3406,3534,127,2560,2657,98,2934,3055,122,3082,3108,26,2643,2630,-13,2271,2250,-21,1837,1815,-21,1958,2215,257,2187,2346,159,2309,2309,0,3155,3318,163,3632,3795,164,2992,3193,202,4807,4977,170
43702,MALDIVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
43818,MONGOLIA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,17,17,0,10,179,170,4,97,93,43,91,47,113,134,21,97,111,14,164,164,0,140,151,11,136,151,15,64,74,10
44105,OMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,190,0,182,182,0,158,157,10,12,2,120,9,-112,12,177,165,8,135,127,10,144,133,76,175,99,29,130,101,73,173,100
44202,NEPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44407,"KOREA, NORTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44709,PAKISTAN,0,0,0,16,16,0,10,10,0,59,59,0,60,60,0,20,20,0,42,42,0,44,44,0,84,84,0,35,35,0,0,0,0,4,4,0,9,9,0,162,162,0,221,221,0,141,141,0,133,133,0,135,135,0
44806,PHILIPPINES,950,959,9,829,839,10,931,942,12,1397,1405,8,1157,1171,15,650,668,18,794,809,16,887,887,0,733,753,19,684,676,-7,722,705,-16,797,797,0,701,700,-2,496,496,0,519,519,0,542,643,101,538,680,142,771,919,148
45004,EAST TIMOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45101,QATAR,544,544,0,933,933,0,2071,2071,0,3623,3786,162,4042,4144,103,2571,2655,84,3908,4355,446,4751,5860,1108,4110,5125,1015,3719,4926,1207,2923,4046,1122,1961,3863,1902,1818,3297,1479,1217,2553,1336,1170,2605,1435,1265,3341,2075,1150,3579,2429,784,2991,2207
45608,SAUDI ARABIA,0,0,0,0,0,0,14,14,0,52,82,30,91,144,54,45,107,62,57,105,47,36,67,32,0,55,55,0,90,90,0,267,266,0,686,686,3,372,369,359,712,353,601,1644,1044,183,1436,1254,3753,5471,1719,5220,6883,1663
46019,SINGAPORE,2771,2905,134,4501,4290,-211,5138,5096,-42,6055,6977,921,6346,6412,66,5160,5612,452,5668,5474,-193,5456,5737,282,4986,5882,896,5513,8063,2550,5497,7143,1646,6626,7689,1064,6082,5397,-685,5601,4427,-1174,6976,5611,-1365,9124,7512,-1612,8943,6848,-2096,10225,7895,-2329
46205,SYRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46302,TAIWAN,204,204,0,279,279,0,737,737,0,220,220,0,105,114,10,149,185,36,42,77,35,99,164,65,41,35,-6,104,99,-5,151,936,786,181,1002,821,88,856,768,41,655,613,26,652,626,71,77,6,69,90,21,109,1264,1155
46418,THAILAND,494,502,8,632,649,16,756,770,14,945,854,-91,770,781,11,475,475,0,631,631,0,616,616,0,283,362,79,882,967,85,859,957,98,716,901,185,737,905,169,654,754,101,1018,1332,314,1199,1717,519,1017,1509,492,1552,2006,454
46604,UNITED ARAB EMIRATES,0,0,0,25,25,0,40,40,0,1154,1080,-74,3543,4627,1083,2737,3274,537,2966,3768,801,3445,5930,2484,3588,6865,3278,4265,7068,2803,3782,6000,2218,3804,6505,2700,2967,5215,2248,2891,4395,1505,4877,6411,1534,6106,8174,2068,7115,9349,2234,7165,10954,3789
46906,VIETNAM,0,0,0,0,0,0,0,0,0,6,6,0,4,4,0,2,2,0,19,19,0,16,16,0,14,14,0,42,42,0,96,96,0,212,212,0,112,112,0,61,61,0,37,37,0,73,51,-22,87,328,241,75,365,290
47104,YEMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47201,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50105,ALGERIA,3,3,0,12,12,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50202,ANGOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,7,7,0,7,217,210,0,239,239,0,168,168,5,217,212,0,172,172,24,24,0,2,2,0,661,661,0,5,5,0
50504,BOTSWANA,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50806,BURUNDI,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51004,CAMEROON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51209,"CAPE VERDE, REPUBLIC OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,-5,0,0,0,0,0,0,0,0,0
51306,CENTRAL AFRICAN REPUBLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51403,CHAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51519,COMOROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51608,CONGO (BRAZZAVILLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51705,CONGO (KINSHASA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
